Rk,Name,Age,Tm,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
26,Yu Hsien Chu*,31,RAK,Fgn,,104,409,363,54,100,22,1,13,62,1,0,36,88,0.276,0.355,0.449,0.804,163,16,9,0,1,0
27,Chung Yu Chen,27,UPR,Fgn,,74,256,222,26,61,9,2,2,33,3,4,19,38,0.275,0.339,0.36,0.699,80,4,3,11,1,0
28,Chin-lung Hu,39,UPR,Fgn,,64,232,215,23,59,8,0,2,24,0,2,13,40,0.274,0.312,0.34,0.651,73,8,0,1,3,0
29,Szu Chi Chou*,41,BTH,Fgn,,82,261,228,21,62,9,0,1,19,3,3,23,23,0.272,0.341,0.325,0.666,74,6,2,6,2,0
30,Wei Chen Wang,31,BTH,Fgn,,104,454,426,49,116,11,0,2,44,13,5,21,41,0.272,0.305,0.312,0.618,133,9,1,2,4,1
31,Jia Xiang Sung,18,RAK,Fgn,,56,181,164,18,44,8,0,3,22,2,0,11,46,0.268,0.317,0.372,0.689,61,2,2,1,3,0
32,Jin-De Jang,30,FUB,Fgn,,66,223,203,19,54,10,0,4,18,0,0,18,32,0.266,0.323,0.374,0.697,76,2,0,0,2,0
33,Chen Fei Lin,26,RAK,Fgn,,91,329,306,40,81,21,1,8,43,1,3,15,63,0.265,0.296,0.418,0.714,128,8,1,1,6,0
34,Kuo Chen Fan,28,FUB,Fgn,,113,454,406,48,107,18,2,12,65,6,1,36,87,0.264,0.327,0.406,0.733,165,10,5,1,6,3
35,Tzu Hao Lin,21,UPR,Fgn,,77,286,247,35,65,13,1,2,23,4,0,37,42,0.263,0.36,0.348,0.708,86,8,1,0,1,2
36,Ching Kai Lin,22,UPR,Fgn,,104,381,348,38,91,11,0,1,33,5,5,11,55,0.262,0.299,0.302,0.601,105,14,9,10,3,0
37,Ngayaw Ake,41,WEI,Fgn,,81,209,185,13,48,2,1,4,27,0,1,21,57,0.26,0.332,0.346,0.678,64,7,0,1,2,2
38,Xiao Cheng Lin,23,WEI,Fgn,,101,344,299,43,77,9,4,1,33,21,6,26,71,0.258,0.324,0.324,0.649,97,8,5,11,3,0
39,Chen Wei Chen,25,RAK,Fgn,,108,448,398,54,101,12,6,5,38,22,7,39,53,0.254,0.318,0.352,0.67,140,2,1,5,5,1
40,Cheng Tang Wang,27,FUB,Fgn,,103,422,379,47,96,14,5,4,34,9,6,26,52,0.253,0.314,0.348,0.662,132,6,9,5,3,0
41,Kuan Wei Yao,27,FUB,Fgn,,63,168,143,16,36,3,1,0,12,2,3,20,28,0.252,0.349,0.287,0.636,41,4,2,2,1,0
42,Chi Hung Hsu,30,BTH,Fgn,,63,236,198,16,49,4,1,5,26,2,1,29,44,0.248,0.349,0.354,0.703,70,3,3,4,2,1
43,Tian Shin Kuo,23,WEI,Fgn,,119,503,454,57,112,16,3,3,48,10,8,28,62,0.247,0.296,0.315,0.611,143,4,7,7,7,1
44,An Ko Lin*,26,UPR,Fgn,,76,292,259,40,64,9,2,15,35,2,1,25,57,0.247,0.322,0.471,0.793,122,5,5,0,3,1
45,Chih Hao Chang,36,BTH,Fgn,,79,279,236,34,58,9,3,12,44,6,3,34,67,0.246,0.348,0.462,0.81,109,5,5,0,4,3
46,Kuo Lin Kao,30,FUB,Fgn,,60,151,130,13,32,7,0,2,15,0,0,15,25,0.246,0.329,0.346,0.675,45,4,2,2,2,0
47,Sheng Wei Wang,39,FUB,Fgn,,65,237,201,26,49,10,3,2,21,13,3,14,41,0.244,0.311,0.353,0.664,71,2,6,15,1,0
48,Shao Hong Jiang,25,WEI,Fgn,,73,241,203,20,49,13,0,1,26,0,0,18,38,0.241,0.317,0.32,0.638,65,9,6,11,3,0
49,Che-Hsuan Lin,34,FUB,Fgn,,105,374,334,29,80,15,0,3,27,18,3,29,53,0.24,0.313,0.311,0.624,104,1,7,3,1,0
50,Namoh Iyang,24,WEI,Fgn,,89,303,268,40,63,8,2,6,29,8,2,24,91,0.235,0.308,0.347,0.655,93,4,6,1,4,0
51,Hsiao Yi Kao,33,WEI,Fgn,,49,144,124,11,29,4,1,0,9,2,2,12,21,0.234,0.312,0.282,0.594,35,1,3,3,2,0
52,Hao Wei Shen,25,FUB,Fgn,,99,374,335,46,77,13,1,12,45,10,2,27,64,0.23,0.303,0.382,0.685,128,9,9,1,2,1
53,Chia Le Chou*,23,FUB,Fgn,,65,150,140,10,32,2,2,0,6,6,2,4,40,0.229,0.265,0.271,0.537,38,1,3,3,0,0
54,Yuan Hsu Hsin,24,FUB,Fgn,,80,215,193,17,44,6,0,1,27,0,0,9,37,0.228,0.286,0.275,0.561,53,5,8,2,3,0
55,Dai An Lin,31,UPR,Fgn,,54,171,156,15,35,2,0,2,11,0,0,10,29,0.224,0.272,0.276,0.548,43,3,1,2,2,0
56,Tung Hua Yueh,27,BTH,Fgn,,82,302,251,36,56,8,1,3,24,0,3,44,67,0.223,0.339,0.299,0.638,75,2,0,7,0,0
57,Cheng Yu Chang,23,WEI,Fgn,,78,230,198,31,44,8,4,0,16,9,1,21,36,0.222,0.296,0.303,0.599,60,4,0,10,1,0
58,Chun Hao Liu,21,FUB,Fgn,,57,185,171,13,38,6,1,0,15,1,2,7,40,0.222,0.26,0.269,0.529,46,3,2,4,1,0
59,Chin Ou*,26,WEI,Fgn,,59,152,127,7,28,3,0,2,10,0,0,21,29,0.221,0.342,0.291,0.633,37,6,3,0,1,0
60,Francisco Pe?¡Óa,33,BTH,Fgn,,59,167,148,13,32,8,0,6,22,1,1,12,27,0.216,0.278,0.392,0.67,58,3,1,5,1,0
61,Nien En Kung,19,FUB,Fgn,,43,133,122,9,26,6,4,0,7,2,1,10,43,0.213,0.271,0.328,0.599,40,2,0,0,1,0
62,Tzu Chieh Lin,32,UPR,Fgn,,59,156,138,12,27,7,0,0,9,1,0,12,28,0.196,0.265,0.246,0.511,34,2,1,5,0,0
63,Wun Jie Chen,25,BTH,Fgn,,99,284,246,26,47,12,2,6,32,11,5,27,47,0.191,0.273,0.329,0.603,81,5,2,6,3,1
64,Yu Chieh Kao,25,BTH,Fgn,,87,231,212,14,40,4,0,1,10,1,0,14,54,0.189,0.239,0.222,0.461,47,4,0,5,0,0
65,Yu Ming Chang,26,WEI,Fgn,,52,159,134,11,25,2,0,1,14,1,2,11,29,0.187,0.292,0.224,0.516,30,2,9,5,0,0
66,Pei Feng Dai,23,FUB,Fgn,,53,150,130,7,24,7,0,1,13,3,0,14,24,0.185,0.264,0.262,0.525,34,2,0,6,0,0
67,Chuan Sheng Tseng,22,WEI,Fgn,,67,143,131,12,24,3,1,0,4,6,3,6,11,0.183,0.217,0.221,0.439,29,4,0,5,1,0
68,Tzu Hao Chen*,27,BTH,Fgn,,68,243,197,18,35,5,0,4,29,1,2,34,57,0.178,0.32,0.264,0.584,52,7,8,2,2,0
69,Pin Chieh Chen,31,WEI,Fgn,,62,229,204,17,36,7,1,1,18,3,2,17,31,0.177,0.24,0.235,0.475,48,1,1,4,3,0
