Rk,Name,Age,Tm,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1,Chia Jung Liang,28,RAK,Fgn,,96,392,349,57,118,31,2,8,54,0,1,32,43,0.338,0.4,0.507,0.907,177,10,6,2,3,1
2,Li Lin,27,RAK,Fgn,,62,265,234,47,79,19,0,6,35,5,1,24,40,0.338,0.397,0.496,0.893,116,6,1,3,3,2
3,Yung Chi Chen,39,UPR,Fgn,,86,293,262,22,88,17,0,5,48,4,2,20,43,0.336,0.392,0.458,0.85,120,4,6,2,3,0
4,Wei En Chuang,25,FUB,Fgn,,48,141,124,17,41,6,2,0,9,13,4,3,18,0.331,0.359,0.411,0.77,51,3,3,10,1,0
5,Tsung Hsien Lee,29,FUB,Fgn,,104,417,368,47,117,24,3,3,41,17,3,29,48,0.318,0.378,0.424,0.802,156,10,8,10,2,0
6,Chieh Hsien Chen,29,UPR,Fgn,,109,481,403,70,127,13,4,4,49,10,5,65,43,0.315,0.413,0.397,0.81,160,10,4,6,3,2
7,Chih Cheng Chiu*,22,UPR,Fgn,,82,258,227,51,71,11,1,5,23,7,2,22,45,0.313,0.386,0.436,0.822,99,4,5,4,0,0
8,Chien Fu Liao,24,RAK,Fgn,,111,443,387,62,121,15,0,22,83,0,0,44,62,0.313,0.388,0.522,0.91,202,11,7,0,5,2
9,Yen Wen Kuo,34,RAK,Fgn,,37,132,127,10,39,6,0,2,13,0,1,3,17,0.307,0.326,0.402,0.727,51,4,1,0,1,0
10,Yi Chuan Lin,37,UPR,Fgn,,89,311,284,20,87,14,0,3,54,1,0,22,42,0.306,0.357,0.387,0.744,110,13,2,0,3,1
11,Tzu Hsien Chan,29,BTH,Fgn,,106,410,349,40,106,11,1,8,48,10,0,55,58,0.304,0.401,0.41,0.811,143,8,3,1,2,2
12,Cheng Shun Wang,26,BTH,Fgn,,61,200,175,26,53,10,1,4,19,1,0,22,36,0.303,0.382,0.44,0.822,77,3,1,1,1,0
13,Chih Chieh Su,28,UPR,Fgn,,111,471,407,64,122,16,4,12,76,9,3,55,59,0.3,0.391,0.447,0.838,182,11,7,0,2,2
14,Yung Wei Kuo,35,RAK,Fgn,,49,128,121,9,36,4,1,0,13,0,0,4,20,0.298,0.325,0.347,0.673,42,4,1,2,0,0
15,Hung Yu Lin,37,RAK,Fgn,,79,224,198,23,58,11,1,2,31,0,0,19,48,0.293,0.353,0.389,0.742,77,9,2,0,5,2
16,Kun Yu Chiang,22,BTH,Fgn,,110,457,395,55,115,20,0,5,43,11,4,42,54,0.291,0.36,0.38,0.74,150,7,5,7,8,0
17,Ji Hong Liu,22,WEI,Fgn,,119,511,467,61,136,26,0,16,80,6,3,27,99,0.291,0.343,0.45,0.793,210,8,12,1,4,0
18,Chin Cheng,24,RAK,Fgn,,120,510,438,62,127,14,2,1,40,14,7,39,50,0.29,0.368,0.338,0.706,148,13,16,16,1,0
19,Kai Wei Li,25,WEI,Fgn,,119,506,423,64,122,20,2,5,40,12,5,59,69,0.288,0.388,0.381,0.769,161,7,14,4,6,0
20,Chieh Kai Pan,29,UPR,Fgn,,63,182,153,24,44,6,0,1,14,3,2,24,24,0.288,0.383,0.346,0.73,53,4,1,2,2,0
21,Chun-Hsiu Chen,34,RAK,Fgn,,66,268,214,34,61,8,0,7,32,2,1,46,49,0.285,0.414,0.421,0.834,90,9,3,2,3,1
22,Kungkuan Giljegiljaw,29,WEI,Fgn,,106,436,388,58,110,21,2,23,67,1,1,37,89,0.284,0.356,0.526,0.881,204,11,8,0,3,3
23,Chung Ting Chen,27,UPR,Fgn,,72,262,239,25,67,8,2,1,19,8,1,12,35,0.28,0.323,0.343,0.666,82,11,3,8,0,0
24,Song En Tseng,23,BTH,Fgn,,58,197,175,20,49,10,0,1,19,1,1,13,22,0.28,0.332,0.354,0.686,62,6,3,1,5,0
25,Cheng Hua Yueh*,22,BTH,Fgn,,107,462,414,63,115,18,6,9,53,10,7,25,81,0.278,0.338,0.416,0.753,172,10,13,9,1,1
