Rk,Name,Age,Tm,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1,Chao Ting Tang,32,UPR,Fgn,,92,189,173,36,63,10,2,2,20,1,3,14,33,0.364,0.413,0.48,0.893,83,5,1,0,1,0
2,Chieh Hsien Chen,26,UPR,Fgn,,115,549,484,99,174,32,4,3,67,21,10,49,42,0.36,0.42,0.461,0.88,223,5,7,1,8,1
3,Li Lin,24,RAK,Fgn,,108,462,416,92,149,23,4,25,86,22,6,37,107,0.358,0.417,0.613,1.03,255,5,6,1,2,2
4,Yung Chi Chen,36,UPR,Fgn,,102,347,306,49,109,15,1,14,63,10,3,34,82,0.356,0.416,0.549,0.965,168,8,0,3,4,0
5,Yu Hsien Chu*,28,RAK,Fgn,,103,394,357,62,126,20,1,27,70,0,0,31,80,0.353,0.406,0.642,1.048,229,8,3,0,3,1
6,Jin-De Jang,27,FUB,Fgn,,53,220,201,31,69,12,0,9,30,0,0,19,22,0.343,0.4,0.537,0.937,108,6,0,0,0,2
7,Chia Jung Liang,25,RAK,Fgn,,55,194,171,21,58,14,1,5,29,0,0,16,31,0.339,0.406,0.521,0.927,89,3,4,2,1,1
8,Wei Chen Wang,28,BTH,Fgn,,120,549,501,90,170,29,3,4,47,17,9,39,60,0.339,0.388,0.433,0.821,217,6,3,3,3,2
9,Chien Fu Liao,21,RAK,Fgn,,98,350,306,52,103,31,1,10,50,1,1,28,32,0.337,0.406,0.543,0.949,166,9,10,3,3,0
10,Tzu Hsien Chan,26,BTH,Fgn,,112,478,420,74,140,20,1,20,80,4,1,52,79,0.333,0.406,0.529,0.935,222,12,2,0,4,2
11,Chih Ping Lin,35,RAK,Fgn,,86,283,252,34,82,15,0,1,40,12,9,19,50,0.325,0.379,0.397,0.775,100,12,5,3,4,0
12,Szu Chi Chou*,38,BTH,Fgn,,106,398,355,75,115,26,1,22,81,6,3,36,66,0.324,0.386,0.589,0.975,209,4,2,2,3,0
13,Chi Hung Hsu,27,BTH,Fgn,,105,395,351,64,113,25,0,19,65,1,2,40,82,0.322,0.392,0.556,0.948,195,12,2,0,2,2
14,Chieh Jui Wu,27,UPR,Fgn,,67,247,215,35,69,12,0,3,33,7,1,17,29,0.321,0.4,0.419,0.819,90,7,12,2,1,0
15,Yao Hsun Yang*,37,RAK,Fgn,,65,229,212,35,67,17,1,9,38,5,1,13,53,0.316,0.362,0.533,0.895,113,3,3,0,1,1
16,Chih Chieh Su,25,UPR,Fgn,,118,511,438,104,137,31,4,28,98,13,6,58,115,0.313,0.395,0.594,0.989,260,9,7,0,8,1
17,Hung Yu Lin,34,RAK,Fgn,,105,430,397,57,124,22,0,13,70,1,0,15,81,0.312,0.349,0.466,0.815,185,10,11,0,7,3
18,Yi Chuan Lin,34,FUB,Fgn,,109,427,391,52,122,18,0,22,78,1,0,33,69,0.312,0.365,0.527,0.892,206,10,1,0,2,3
19,Chun-Hsiu Chen,31,RAK,Fgn,,97,388,341,58,106,16,1,12,54,3,2,39,79,0.311,0.381,0.469,0.85,160,7,2,2,4,0
20,Chin-lung Hu,36,FUB,Fgn,,41,176,158,31,49,7,0,6,31,5,1,13,21,0.31,0.354,0.468,0.823,74,2,0,1,4,1
