Rk,Name,Age,Tm,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
34,Yin Lun Lan,34,TSG,Fgn,,71,234,216,19,58,7,1,3,26,6,1,9,45,0.269,0.303,0.352,0.655,76,7,4,0,5,0
35,Chung Yu Chen,28,UPR,Fgn,,84,272,246,41,66,12,2,2,22,8,2,14,56,0.268,0.312,0.358,0.67,88,5,2,9,1,0
36,Tsung Hsien Lee,30,FUB,Fgn,,100,423,385,49,103,22,2,1,29,11,8,25,54,0.268,0.313,0.343,0.655,132,6,2,7,4,0
37,Chia Jung Liang,29,RAK,Fgn,,98,410,368,35,98,16,1,3,37,0,0,27,60,0.266,0.32,0.34,0.66,125,13,5,4,6,1
38,Cheng Shun Wang,27,BTH,Fgn,,70,158,143,15,38,6,1,1,15,2,1,10,44,0.266,0.321,0.343,0.663,49,7,2,2,1,0
39,Wun Jie Chen,26,TSG,Fgn,,107,463,404,55,107,27,3,4,42,11,5,36,67,0.265,0.332,0.376,0.708,152,5,6,14,3,0
40,Chen Chen,25,FUB,Fgn,,53,171,144,18,38,9,0,3,18,2,0,21,42,0.264,0.363,0.389,0.752,56,4,3,0,3,0
41,Yi Chuan Lin,38,UPR,Fgn,,45,134,129,5,34,6,0,2,14,0,0,4,14,0.264,0.284,0.357,0.64,46,4,0,0,1,0
42,Chia Ming Tu,28,TSG,Fgn,,101,348,296,26,78,12,1,2,30,0,0,30,43,0.264,0.35,0.331,0.681,98,9,11,8,3,0
43,Sheng-Ping Chen,23,UPR,Fgn,,52,181,169,23,44,5,1,1,7,2,1,10,28,0.26,0.309,0.32,0.629,54,4,2,0,0,0
44,Yu Ming Chang,27,WEI,Fgn,,71,222,190,23,49,3,3,0,16,7,2,16,30,0.258,0.333,0.305,0.639,58,5,7,6,3,0
45,Jhao Yuan Jhang,26,TSG,Fgn,,103,334,295,27,76,11,2,3,39,0,0,33,63,0.258,0.342,0.339,0.681,100,8,5,1,0,0
46,An Ko Lin*,27,UPR,Fgn,,118,477,408,63,105,21,1,20,93,5,3,60,100,0.257,0.352,0.461,0.813,188,12,3,0,6,3
47,Cheng Yu Chang,24,WEI,Fgn,,66,244,215,28,55,9,4,2,28,5,1,14,43,0.256,0.298,0.363,0.661,78,5,1,9,5,1
48,Tzu Hsien Chan,30,BTH,Fgn,,94,287,251,18,64,14,1,1,28,1,2,29,59,0.255,0.338,0.331,0.669,83,4,4,0,3,0
49,Chia Wei Lin,19,UPR,Fgn,,81,303,268,43,68,8,4,3,30,1,1,27,66,0.254,0.321,0.347,0.668,93,6,2,1,5,0
50,Hao Wei Shen,26,FUB,Fgn,,114,450,405,48,103,17,3,9,60,3,1,26,78,0.254,0.309,0.378,0.687,153,15,10,0,9,1
51,Yu Chieh Kao,26,BTH,Fgn,,109,330,294,32,74,12,1,3,37,3,4,27,55,0.252,0.316,0.33,0.646,97,8,2,4,3,1
52,Xiao Cheng Lin,24,WEI,Fgn,,64,206,181,24,45,5,3,0,16,11,2,12,40,0.249,0.305,0.309,0.614,56,5,4,6,3,0
53,Shao Hong Jiang,26,WEI,Fgn,,70,251,227,22,56,12,1,3,22,1,1,16,35,0.247,0.307,0.348,0.655,79,9,4,3,1,1
54,Chung Ting Chen,28,UPR,Fgn,,111,399,362,37,89,9,3,2,39,9,2,25,53,0.246,0.293,0.304,0.597,110,13,1,7,4,0
55,Yung Wei Kuo,36,TSG,Fgn,,45,146,126,14,31,2,0,0,9,3,0,5,23,0.246,0.282,0.262,0.543,33,4,2,11,2,0
56,Ji Hong Liu,23,WEI,Fgn,,118,474,434,43,106,23,1,9,56,3,0,32,92,0.244,0.3,0.364,0.664,158,10,4,0,4,1
57,Cheng Hua Yueh*,23,BTH,Fgn,,118,504,434,75,105,15,4,5,31,23,8,47,86,0.242,0.322,0.33,0.651,143,1,5,16,2,0
58,Jia Hong Lin,22,TSG,Fgn,,56,129,121,17,29,4,1,0,9,4,1,4,29,0.24,0.27,0.289,0.559,35,2,1,3,0,0
59,Nien Ting Wu,31,TSG,Fgn,,36,139,129,12,31,3,0,2,13,2,2,9,23,0.24,0.295,0.31,0.605,40,3,1,0,0,1
60,Ming Hung Wu,29,TSG,Fgn,,52,154,142,8,34,4,2,1,15,1,0,4,43,0.239,0.283,0.317,0.6,45,6,5,2,1,0
61,Cheng Hua Lin,22,RAK,Fgn,,85,192,164,21,39,5,4,0,14,3,1,13,28,0.238,0.303,0.317,0.62,52,1,4,7,4,0
62,Chieh Sen Ma,22,RAK,Fgn,,111,409,367,23,87,16,1,0,34,0,1,15,49,0.237,0.273,0.286,0.559,105,5,5,17,5,0
63,Che Yen Hsu,26,UPR,Fgn,,92,256,222,33,52,10,2,1,22,5,1,18,46,0.234,0.298,0.311,0.609,69,9,3,11,2,0
64,Kuo Lin Kao,31,FUB,Fgn,,75,247,214,25,50,15,0,2,26,0,0,26,49,0.234,0.332,0.332,0.664,71,13,6,0,1,0
65,Chia Le Chou*,24,FUB,Fgn,,67,172,156,18,36,3,3,1,6,4,3,9,43,0.231,0.281,0.308,0.589,48,5,2,5,0,0
66,You Jia Chang*,21,WEI,Fgn,,56,179,162,20,37,5,2,3,17,0,1,10,37,0.228,0.284,0.34,0.624,55,2,3,3,1,0
67,Kuo Chen Fan,29,FUB,Fgn,,78,320,287,23,65,10,2,1,28,2,2,28,49,0.227,0.297,0.286,0.583,82,4,2,0,3,1
68,Chen Fei Lin,27,RAK,Fgn,,73,220,204,25,45,10,1,6,31,0,0,10,59,0.221,0.257,0.368,0.625,75,4,1,2,3,1
69,Min Hsun Chang,29,RAK,Fgn,,59,166,151,10,33,7,0,2,18,0,0,8,21,0.219,0.27,0.305,0.575,46,4,3,3,1,0
70,Nian Hao Wang,19,FUB,Fgn,,46,158,137,11,30,9,1,1,17,0,1,17,43,0.219,0.306,0.321,0.627,44,2,1,1,2,1
71,Nien En Kung,20,FUB,Fgn,,55,142,127,11,27,5,2,0,12,4,2,9,42,0.213,0.264,0.284,0.548,36,3,1,2,3,0
72,Chih Hao Chang,37,BTH,Fgn,,62,201,175,30,37,7,2,9,30,1,0,24,63,0.211,0.309,0.429,0.737,75,3,1,0,1,0
73,Fu Lin Kuo,33,"TSG,UPR",Fgn,,45,144,128,9,27,9,0,2,9,1,0,9,37,0.211,0.292,0.328,0.62,42,3,6,0,1,0
74,Tung Hua Yueh,28,BTH,Fgn,,118,442,356,48,75,12,1,8,43,8,5,63,82,0.211,0.326,0.317,0.644,113,7,1,16,6,0
75,Jun Wei Liu,19,WEI,Fgn,,49,170,157,16,33,7,0,1,9,7,1,8,41,0.21,0.258,0.274,0.531,43,2,2,3,0,1
76,Pin Chieh Chen,32,WEI,Fgn,,50,150,125,8,26,4,0,0,11,0,1,18,25,0.208,0.306,0.24,0.546,30,2,0,6,1,0
77,Namoh Iyang,25,WEI,Fgn,,92,195,178,28,36,6,0,5,19,3,2,13,64,0.202,0.263,0.32,0.583,57,5,2,1,1,0
78,Tzu-Wei Lin,30,RAK,Fgn,,59,189,166,17,32,5,2,4,15,5,1,17,37,0.193,0.269,0.319,0.588,53,3,1,3,2,0
79,Che-Hsuan Lin,35,FUB,Fgn,,55,173,146,16,28,1,0,1,17,4,1,24,34,0.192,0.304,0.219,0.523,32,1,0,2,1,0
