Rk,Name,Age,Tm,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1,Li Lin,28,RAK,Fgn,,86,372,337,65,119,13,2,5,34,19,5,28,57,0.353,0.404,0.448,0.852,151,4,3,1,3,0
2,Cheng Jui Sung,21,BTH,Fgn,,54,141,126,26,43,4,0,3,17,17,3,8,31,0.341,0.396,0.444,0.84,56,1,4,2,1,0
3,Chieh Hsien Chen,30,UPR,Fgn,,112,472,401,71,134,13,7,2,55,7,3,56,50,0.334,0.421,0.417,0.837,167,15,7,4,4,1
4,Cheng Tang Wang,28,FUB,Fgn,,100,354,315,38,105,19,2,6,44,4,1,19,33,0.333,0.375,0.464,0.838,146,7,6,7,7,3
5,Chih Ping Lin,39,RAK,Fgn,,54,166,148,18,49,14,0,1,25,2,1,16,31,0.331,0.398,0.446,0.844,66,6,1,0,1,0
6,Chih Cheng Chiu*,23,UPR,Fgn,,118,530,445,81,145,21,6,4,63,13,8,60,93,0.326,0.418,0.427,0.845,190,3,15,4,6,0
7,Kai Wei Li,26,WEI,Fgn,,115,495,423,58,135,16,0,2,34,14,6,54,54,0.319,0.398,0.371,0.77,157,7,5,8,5,0
8,Yung Chi Chen,40,UPR,Fgn,,75,254,225,34,70,14,0,5,39,1,0,24,30,0.311,0.379,0.44,0.819,99,8,2,1,2,1
9,Hung Yu Lin,38,RAK,Fgn,,95,374,335,40,103,18,0,9,61,2,0,25,51,0.308,0.37,0.442,0.812,148,9,10,1,3,2
10,Song En Tseng,24,BTH,Fgn,,112,424,392,57,119,24,0,10,52,3,0,24,60,0.304,0.343,0.441,0.784,173,20,2,1,5,0
11,Chi Hung Hsu,31,BTH,Fgn,,102,387,332,53,100,19,1,9,62,4,2,33,73,0.301,0.368,0.446,0.814,148,5,9,1,12,3
12,En Chi Chi,20,FUB,Fgn,,72,232,198,31,59,8,1,1,9,10,2,18,49,0.298,0.364,0.364,0.727,72,2,3,12,1,1
13,Wei Chen Wang,32,BTH,Fgn,,75,299,269,33,80,17,3,3,34,8,5,26,26,0.297,0.36,0.416,0.777,112,2,1,2,1,1
14,Chen Wei Chen,26,RAK,Fgn,,119,528,484,77,143,15,14,10,54,30,11,33,64,0.296,0.338,0.446,0.784,216,6,0,7,4,0
15,Chien Fu Liao,25,RAK,Fgn,,77,289,260,27,77,14,2,5,35,0,0,25,38,0.296,0.361,0.423,0.784,110,5,2,1,1,1
16,Yu Hsien Chu*,32,RAK,Fgn,,111,442,404,50,119,16,0,12,59,1,0,24,84,0.295,0.346,0.423,0.769,171,10,9,2,3,1
17,Steven Moya,32,TSG,Fgn,,115,493,432,71,127,24,2,30,99,1,1,51,100,0.294,0.367,0.567,0.934,245,4,3,0,7,9
18,Chun-Hsiu Chen,35,BTH,Fgn,,101,378,321,40,93,20,0,7,47,2,2,46,81,0.29,0.385,0.417,0.802,134,11,6,1,4,0
19,Yen Wen Kuo,35,WEI,Fgn,,80,277,262,18,76,20,0,4,37,0,1,8,34,0.29,0.315,0.412,0.727,108,13,3,1,3,0
20,Chih Chieh Su,29,UPR,Fgn,,59,207,192,22,55,5,1,2,26,1,2,15,38,0.287,0.338,0.354,0.692,68,8,0,0,0,1
21,Pei Feng Dai,24,FUB,Fgn,,100,323,283,29,80,11,0,1,25,1,0,24,46,0.283,0.342,0.332,0.674,94,5,4,7,5,0
22,Chieh Kai Pan,30,UPR,Fgn,,102,389,332,40,94,11,2,5,48,3,0,48,62,0.283,0.375,0.374,0.748,124,11,3,2,4,0
23,Po Hsuan Wang,24,TSG,Fgn,,108,409,375,51,106,14,5,1,38,14,5,22,70,0.283,0.332,0.355,0.686,133,9,6,5,1,0
24,Tzu En Tung,21,FUB,Fgn,,100,385,345,31,97,13,0,1,30,2,1,16,18,0.281,0.344,0.328,0.671,113,9,18,4,2,0
25,Po Jung Wang,30,TSG,Fgn,,110,478,403,53,113,25,2,6,60,13,3,61,86,0.28,0.383,0.397,0.78,160,10,9,0,5,1
26,Kungkuan Giljegiljaw,30,WEI,Fgn,,120,508,455,60,127,21,0,23,78,0,0,41,93,0.279,0.345,0.477,0.821,217,10,7,0,5,4
27,Kun Yu Chiang,23,BTH,Fgn,,94,374,324,44,90,15,1,2,50,6,1,29,31,0.278,0.345,0.349,0.694,113,10,7,9,5,1
28,Chien Ting Feng,32,RAK,Fgn,,50,151,141,14,39,7,0,0,8,2,0,9,32,0.277,0.32,0.326,0.646,46,0,0,1,0,0
29,Tzu Hao Chen*,28,BTH,Fgn,,87,344,301,45,83,19,1,17,60,0,2,37,73,0.276,0.355,0.515,0.87,155,11,2,0,4,0
30,Tian Shin Kuo,24,WEI,Fgn,,103,430,393,51,108,23,3,1,30,9,8,22,32,0.275,0.315,0.356,0.671,140,10,3,8,4,1
31,Te Lung Yu,36,RAK,Fgn,,83,138,122,20,33,3,1,0,9,3,0,11,22,0.271,0.326,0.312,0.637,38,4,0,3,2,0
32,Yu Chang,28,FUB,Fgn,,47,182,137,29,37,5,1,10,30,4,0,40,40,0.27,0.445,0.54,0.985,74,3,4,0,1,2
33,Tzu Yu Tseng,20,TSG,Fgn,,115,522,456,68,123,10,4,4,36,13,4,49,54,0.27,0.344,0.336,0.679,153,9,5,7,5,1
