Rk,Name,Age,Tm,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1,Li Lin,26,RAK,Fgn,,109,474,418,74,140,30,2,14,83,22,7,40,77,0.335,0.391,0.517,0.907,216,5,4,3,9,0
2,Chen Wei Chen,24,RAK,Fgn,,111,422,376,66,123,20,6,2,33,38,7,33,44,0.327,0.38,0.428,0.808,161,5,0,11,2,1
3,Kun Yu Chiang,21,BTH,Fgn,,109,465,406,67,129,18,2,6,40,10,4,37,47,0.318,0.392,0.416,0.808,169,9,13,8,1,0
4,Chin Cheng,23,RAK,Fgn,,100,426,364,51,115,14,2,1,36,23,9,25,32,0.316,0.364,0.374,0.738,136,7,6,25,6,0
5,Wei Chen Wang,30,BTH,Fgn,,105,454,420,59,132,11,4,0,38,11,10,21,46,0.314,0.346,0.36,0.706,151,11,2,6,5,1
6,Chieh Hsien Chen,28,UPR,Fgn,,108,467,408,64,126,16,6,6,42,17,7,43,37,0.309,0.38,0.422,0.802,172,8,7,4,5,1
7,Chin-lung Hu,38,UPR,Fgn,,90,302,269,26,83,10,0,3,40,4,1,22,41,0.309,0.365,0.379,0.744,102,6,4,3,4,2
8,Yen Wen Kuo,33,RAK,Fgn,,66,213,201,29,62,9,0,4,32,1,2,8,29,0.309,0.333,0.413,0.746,83,6,1,0,3,1
9,Pin Chieh Chen,30,WEI,Fgn,,35,147,121,19,37,5,1,1,16,3,0,21,13,0.306,0.411,0.388,0.799,47,3,2,1,2,0
10,Tian Shin Kuo,22,WEI,Fgn,,110,486,458,60,138,14,3,2,32,25,6,21,43,0.301,0.33,0.358,0.688,164,11,0,4,3,0
11,Ngayaw Ake,40,WEI,Fgn,,103,406,347,37,104,12,2,10,62,0,0,50,94,0.3,0.392,0.432,0.824,150,8,5,0,4,2
12,Wun Jie Chen,24,BTH,Fgn,,105,406,367,45,110,19,2,4,62,12,6,27,59,0.3,0.349,0.395,0.744,145,11,3,5,4,0
13,Chien Fu Liao,23,RAK,Fgn,,46,153,130,14,39,5,0,2,22,0,0,18,22,0.3,0.386,0.385,0.77,50,4,2,0,3,1
