Rk,Name,Age,Tm,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
14,Cheng Tang Wang,26,FUB,Fgn,,92,346,312,29,93,16,1,0,26,10,5,13,44,0.298,0.326,0.356,0.682,111,5,4,9,8,0
15,Sheng Wei Wang,38,FUB,Fgn,,95,371,322,37,96,14,1,2,27,12,9,28,63,0.298,0.365,0.367,0.732,118,2,9,7,5,0
16,Cheng Hua Yueh*,21,BTH,Fgn,,79,259,229,38,68,11,2,5,26,5,2,9,52,0.297,0.331,0.428,0.759,98,3,4,14,3,0
17,Kuo Chen Fan,27,FUB,Fgn,,114,480,447,45,131,20,4,9,51,2,4,29,88,0.293,0.339,0.416,0.755,186,6,2,2,0,0
18,Shu Yi Lin,29,BTH,Fgn,,85,328,273,43,80,15,1,1,27,10,8,40,67,0.293,0.392,0.366,0.758,100,7,5,9,1,0
19,Chieh Kai Pan,28,UPR,Fgn,,97,319,278,35,81,12,4,3,30,13,4,26,38,0.291,0.363,0.396,0.759,110,8,6,8,1,0
20,Chi Hung Hsu,29,BTH,Fgn,,105,429,349,52,100,20,2,6,49,11,3,65,61,0.287,0.399,0.407,0.806,142,11,4,5,6,1
21,Kungkuan Giljegiljaw,28,WEI,Fgn,,88,354,318,41,91,18,1,14,56,0,0,30,70,0.286,0.35,0.481,0.831,153,10,3,0,3,1
22,Chia Jung Liang,27,RAK,Fgn,,100,379,318,39,91,11,0,3,25,2,5,55,46,0.286,0.395,0.349,0.744,111,8,3,2,1,0
23,Tzu Hao Chen*,26,BTH,Fgn,,94,380,319,48,91,17,2,10,65,8,4,48,49,0.285,0.388,0.445,0.833,142,13,8,1,4,0
24,Tzu Hao Lin,20,UPR,Fgn,,73,250,234,28,66,9,0,4,25,5,3,11,44,0.282,0.312,0.372,0.684,87,2,1,0,4,0
25,Kai Wei Li,24,WEI,Fgn,,108,446,391,65,110,22,2,2,43,19,5,36,66,0.281,0.355,0.363,0.718,142,6,11,4,4,0
26,An Ko Lin*,25,UPR,Fgn,,38,138,123,16,34,6,0,4,19,3,1,11,20,0.276,0.348,0.423,0.771,52,1,3,0,1,1
27,Yuan Hsu Hsin,23,FUB,Fgn,,75,266,247,17,68,12,0,4,27,2,0,13,41,0.275,0.323,0.373,0.696,92,8,5,0,1,0
28,Chen Fei Lin,25,RAK,Fgn,,88,322,284,34,75,18,1,8,48,1,0,25,77,0.264,0.328,0.419,0.747,119,11,4,5,4,1
29,Ji Hong Liu,21,WEI,Fgn,,105,413,387,40,102,18,0,9,50,1,1,17,88,0.264,0.305,0.38,0.685,147,8,7,0,2,1
30,Tan Chiu*,21,RAK,Fgn,,59,142,130,18,34,5,0,0,13,1,1,9,17,0.262,0.305,0.3,0.605,39,2,0,1,2,0
31,Kuo Ching Kao,43,UPR,Fgn,,53,135,123,10,32,2,0,0,14,2,0,6,19,0.26,0.301,0.276,0.577,34,0,2,2,2,1
32,Yin Lun Lan,32,RAK,Fgn,,58,203,177,21,46,8,0,2,16,2,0,17,28,0.26,0.332,0.339,0.671,60,1,3,4,2,0
33,Yi Chuan Lin,36,FUB,Fgn,,74,266,247,16,64,17,0,1,22,1,0,18,46,0.259,0.308,0.34,0.648,84,8,0,0,1,3
34,Hung Yu Lin,36,RAK,Fgn,,91,340,310,31,80,20,0,8,37,0,1,18,74,0.258,0.309,0.4,0.709,124,8,7,0,5,3
35,Cheng Yu Chang,22,WEI,Fgn,,82,285,257,25,66,5,1,0,20,14,6,16,63,0.257,0.307,0.284,0.591,73,3,5,2,5,0
36,Andrew Li,21,UPR,Fgn,,51,144,137,16,35,9,1,1,21,1,0,5,31,0.256,0.285,0.358,0.642,49,5,1,0,1,0
37,Francisco Pe?¡Óa,32,BTH,Fgn,,71,274,259,24,66,7,0,5,28,1,0,10,33,0.255,0.292,0.34,0.632,88,8,4,0,1,2
38,Pei Feng Dai,22,FUB,Fgn,,103,319,295,26,75,7,0,2,26,6,5,18,56,0.254,0.303,0.298,0.601,88,6,3,2,1,1
39,Chun-Hsiu Chen,33,RAK,Fgn,,90,334,301,29,76,11,1,0,31,3,2,28,59,0.253,0.316,0.296,0.612,89,12,1,2,2,1
40,Chih Cheng Chiu*,21,UPR,Fgn,,96,301,266,21,67,10,1,0,9,11,7,22,43,0.252,0.319,0.297,0.616,79,4,4,9,0,0
41,Tzu Hsien Chan,28,BTH,Fgn,,72,241,207,23,52,14,0,2,35,5,0,31,38,0.251,0.349,0.348,0.696,72,4,1,0,2,2
42,Hao Wei Shen,24,FUB,Fgn,,110,432,393,47,98,19,5,8,37,12,3,26,87,0.249,0.304,0.384,0.689,151,13,6,5,2,0
43,Tung Hua Yueh,26,BTH,Fgn,,112,424,382,44,92,15,1,3,36,6,1,31,81,0.241,0.305,0.309,0.614,118,5,5,4,2,1
44,Chung Ting Chen,26,UPR,Fgn,,95,279,259,23,61,6,2,1,27,6,2,14,41,0.236,0.274,0.286,0.559,74,7,0,5,1,0
45,Szu Chi Chou*,40,BTH,Fgn,,53,163,149,15,35,10,2,1,31,3,0,10,19,0.235,0.278,0.349,0.627,52,4,0,1,3,1
46,Tung Jung Wu,30,WEI,Fgn,,63,203,166,20,39,3,1,0,16,5,1,20,32,0.235,0.35,0.265,0.615,44,1,10,6,1,0
47,Yung Chi Chen,38,UPR,Fgn,,52,160,141,11,33,4,0,1,16,1,1,13,28,0.234,0.304,0.284,0.588,40,4,2,2,2,0
48,Hung Chun Yen,25,RAK,Fgn,,60,154,141,22,33,4,1,3,24,0,2,5,26,0.234,0.27,0.34,0.611,48,4,2,6,0,0
49,Yu Hsien Chu*,30,RAK,Fgn,,92,353,319,39,74,17,1,11,49,1,0,23,73,0.232,0.289,0.395,0.684,126,6,5,0,6,1
50,Jin-De Jang,29,FUB,Fgn,,52,138,125,14,29,4,0,2,12,0,0,12,13,0.232,0.304,0.312,0.616,39,6,1,0,0,2
51,Rainel Rosario,33,UPR,Fgn,,35,152,138,12,32,7,0,4,21,2,1,11,31,0.232,0.296,0.37,0.666,51,1,2,0,1,0
52,Namoh Iyang,23,WEI,Fgn,,101,336,316,36,73,15,1,5,40,6,4,14,88,0.231,0.274,0.332,0.606,105,4,5,0,1,0
53,Yu Ming Chang,25,WEI,Fgn,,76,265,231,25,53,3,2,0,17,8,4,15,33,0.229,0.31,0.26,0.57,60,8,13,4,2,0
54,Ching Kai Lin,21,UPR,Fgn,,112,438,389,45,89,14,0,1,31,14,7,22,49,0.229,0.288,0.273,0.561,106,10,13,8,6,0
55,Dai An Lin,30,UPR,Fgn,,83,246,219,24,49,8,0,1,17,2,0,13,47,0.224,0.277,0.274,0.551,60,3,3,11,0,0
56,Ping Hsuan Tung,24,WEI,Fgn,,41,137,126,7,27,5,0,2,14,0,0,6,36,0.214,0.263,0.302,0.564,38,0,3,0,2,0
57,Chih Hao Chang,35,BTH,Fgn,,42,141,123,17,26,4,0,3,14,1,2,13,23,0.211,0.284,0.317,0.601,39,5,1,0,4,0
58,Min Hsun Chang,27,RAK,Fgn,,70,231,205,17,43,5,0,0,18,2,2,9,21,0.21,0.244,0.234,0.478,48,4,2,10,5,0
59,Kuo Lin Kao,29,FUB,Fgn,,67,236,215,18,44,14,1,4,27,1,0,8,41,0.205,0.255,0.335,0.59,72,14,7,5,1,0
60,Kuan Yu Shih,26,UPR,Fgn,,53,140,130,10,26,8,0,1,14,3,1,9,34,0.2,0.257,0.285,0.542,37,3,1,0,0,0
61,Shao Hong Jiang,24,WEI,Fgn,,66,202,178,21,35,6,0,1,15,0,0,16,38,0.197,0.271,0.247,0.519,44,5,3,3,2,0
